lat,lng,name,pemaju_nama,hargaMin,hargaMax,permit_year,status_keseluruhan
3.198038,101.739634,RESIDENSI SFERA WANGSA MAJU,MCL LAND (MALAYSIA)  SDN. BHD.,"497,800.00","1,285,800.00",2026,Lewat
3.17448,101.65103,RESIDENSI SIMFONI KIARA,SYMLIFE STAR KIARA SDN. BHD.,"1,077,310.00","1,405,880.00",2028,Lancar
3.096617,101.744129,RESIDENSI SKYAMAN 1,SKYAMAN DEVELOPMENT SDN. BHD.,"808,000.00","1,941,000.00",2028,Lancar
3.133556,101.712495,RESIDENSI SKYLINE,LTS SKYLINE SDN. BHD.,"422,200.00","1,143,000.00",2025,Lancar
3.133556,101.712495,RESIDENSI SKYLINE,LTS SKYLINE SDN. BHD.,"422,200.00","1,143,000.00",2026,Lancar
3.160153,101.722172,RESIDENSI SKYLINE DUTA AMPANG,SKYLINE EMBASSY SDN. BHD.,"825,000.00","2,132,800.00",2026,Lancar
3.16033,101.72223,RESIDENSI SKYLINE DUTA AMPANG,SKYLINE EMBASSY SDN. BHD.,"912,000.00","1,546,000.00",2027,Lancar
3.088663,101.706648,RESIDENSI SKYLINE KUCHAI,L & T REALTY SDN. BHD.,"507,800.00","1,324,800.00",2026,Lancar
3.092702,101.690432,RESIDENSI SKYLINE KUCHAI,L & T REALTY SDN. BHD.,"455,800.00","1,259,800.00",2026,Lancar
3.190402,101.719968,RESIDENSI SKYSANCTUARY 2,SKYSANCTUARY DEVELOPMENT SDN. BHD.,"701,800.00","1,088,750.00",2027,Belum Mula
3.099667,101.694153,RESIDENSI SURIA MADANI,MAH SING PROPERTIES SDN. BHD.,"200,000.00","218,000.00",2027,Lancar
3.140346,101.706204,RESIDENSI SWNK HOUZE,BBCC DEVELOPMENT SDN. BHD.,"805,200.00","2,482,800.00",2026,Lancar
3.111146,101.674329,RESIDENSI TAMAN HILIR,KUMPULAN GAPADU SDN. BHD.,"720,000.00","1,246,800.00",2026,Lancar
3.111146,101.674329,RESIDENSI TAMAN HILIR,KUMPULAN GAPADU SDN. BHD.,"783,600.00","1,291,200.00",2026,Lancar
3.18343,101.649463,RESIDENSI TANGEN,ANGKASA ARMADA SDN. BHD.,"659,000.00","1,135,000.00",2026,Lewat
3.107405,101.698122,RESIDENSI THE ADDRESS II,KAISAR MAXIM SDN. BHD.,"737,000.00","1,687,778.00",2025,Siap Dengan CCC
3.1095,101.6825,RESIDENSI THE ATAS,KAISAR MAXIM SDN. BHD.,"808,000.00","1,157,000.00",2027,Lancar
3.142197,101.710548,RESIDENSI TIMES SQUARE 2,BERJAYA TIMES SQUARE SDN. BHD.,"688,000.00","2,649,000.00",2026,Lancar
3.188437,101.670896,RESIDENSI TUJU,DISTINCTIVE WORLD SDN. BHD.,"440,960.00","1,252,840.00",2026,Lancar
3.173301,101.697896,RESIDENSI TUN RAZAK 2,QUANTUM DENSITY SDN. BHD.,"619,200.00","4,590,300.00",2026,Lewat
3.176227,101.748636,RESIDENSI VESTA,SKYSIERRA DEVELOPMENT SDN. BHD.,"455,000.00","933,000.00",2026,Lewat
3.21192,101.6922,RESIDENSI VISTA HARMONI,KLASIK IKHTIAR SDN. BHD.,"90,000.00","750,000.00",2026,Siap Dengan CCC
3.198928,101.691035,RESIDENSI VISTA SENTUL,KERJAYA PROPERTY  SDN. BHD.,"680,160.00","1,016,990.00",2027,Lancar
3.187494,101.666806,RESIDENSI WARISAN SEGAMBUT,TNJ DEVELOPMENT SDN. BHD.,"568,300.00","686,700.00",2027,Lancar
3.069349,101.712687,RESIDENSI WILAYAH MADANI,CONEFF CORPORATION SDN. BHD,"200,000.00","300,000.00",2027,Lewat
3.22,101.6,RESIDENSI ZIRAH GEMILANG,MEGA LEGACY (M) SDN. BHD.,"402,960.00","1,080,960.00",2026,Lancar
3.129899,101.69007,RIVERIA SENTRAL,RIVERIA CITY  SDN. BHD.,"684,946.00","1,052,500.00",2026,Lancar
3.179223,101.675881,ROYAL GARDEN,MAYLAND DEVELOPMENT SDN. BHD.,"820,800.00","1,540,770.00",2028,Lancar
